Delivery Id,Origin_Location,Destination_Location,region,created_at,actual_delivery_time,On time Delivery,Customer_rating,condition_text,Fixed Costs,Maintenance,Difference,Area,Delivery_Time
VCV00014745/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/2/15 19:22,2/2/15 20:09,1,5,Partly cloudy,10792,1220,9572,Rural,68
VCV00014866/082021,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU",Tamil Nadu,2/16/15 4:19,2/16/15 6:34,0,1,Patchy rain possible,7218,882,6337,Rural,64
VCV00014879/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/7/15 1:34,2/7/15 2:17,1,5,Partly cloudy,5184,897,4288,Rural,44
VCV00014872/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/25/15 1:50,1/25/15 2:28,1,4,Overcast,7143,390,6753,Rural,57
VCV00014554/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/12/15 3:36,2/12/15 4:14,1,5,Partly cloudy,7160,388,6773,Rural,78
VCV00014571/082021,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Pondichery,1/27/15 2:12,1/27/15 3:02,1,5,Sunny,8168,325,7843,Rural,53
VCV00014582/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/6/15 0:42,2/6/15 2:10,0,1,Mist,6575,791,5783,Rural,64
VCV00014600/082021,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Pondichery,2/8/15 2:04,2/8/15 3:27,1,5,Partly cloudy,7212,929,6283,Rural,81
VCV00014753/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/31/15 4:35,1/31/15 5:47,1,5,Partly cloudy,7023,420,6603,Rural,37
VCV00014902/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/31/15 2:21,1/31/15 3:11,1,5,Sunny,10465,1327,9137,Rural,63
VCV00015028/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/31/15 23:45,2/1/15 0:14,1,5,Sunny,6388,2096,4292,Sub_urban,32
VCV00014886/082021,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU",Tamil Nadu,2/17/15 3:13,2/17/15 4:00,0,1,Patchy rain possible,12185,1725,10460,Sub_urban,28
VCV00014888/082021,"TRACTORS & FARM EQUIPMENT LIMITED,KANCHIPURAM,TAMIL NADU","TRACTORS & FARMS EQUIPMENTS LIMITED,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/15/15 1:26,2/15/15 2:16,1,5,Sunny,6382,759,5622,Sub_urban,36
VCV00014914/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/2/15 5:27,2/2/15 7:05,0,1,Mist,7768,845,6924,Sub_urban,34
VCV00014931/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/16/15 2:21,2/16/15 3:54,1,5,Sunny,7098,558,6539,Sub_urban,29
VCV00014983/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/13/15 1:01,2/13/15 1:40,1,4,Overcast,6788,542,6246,Sub_urban,38
VCV00014984/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/24/15 2:01,1/24/15 2:46,1,5,Sunny,6574,680,5894,Sub_urban,37
VCV00014991/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/10/15 4:36,2/10/15 5:20,1,5,Sunny,10117,1600,8517,Sub_urban,45
VCV00012634/082021,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Pondichery,1/26/15 2:09,1/26/15 2:47,1,1,Patchy rain possible,6827,338,6489,Sub_urban,47
VCV00012746/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/7/15 1:44,2/7/15 2:48,1,3,Cloudy,10755,1591,9164,Sub_urban,40
VCV00012911/082021,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Pondichery,1/30/15 1:43,1/30/15 2:20,1,4,Partly cloudy,7468,1171,6298,Sub_urban,25
VCV00012946/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/30/15 19:49,1/30/15 20:28,1,3,Cloudy,7710,1191,6520,Sub_urban,36
MVCV0001572/082021,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",Tamil Nadu,1/28/15 20:33,1/28/15 21:04,1,1,Patchy rain possible,7260,507,6753,Sub_urban,3
VCV00013052/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/12/15 20:27,2/12/15 21:18,1,5,Sunny,7683,514,7169,Sub_urban,4
VCV00013197/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/28/15 21:37,1/28/15 22:11,1,5,Sunny,7345,419,6925,Sub_urban,15
MVCV0001605/082021,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Karnataka,2/9/15 20:29,2/9/15 21:17,1,1,Mist,6673,1066,5607,Sub_urban,25
MVCV0001598/082021,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Pondichery,1/21/15 20:35,1/21/15 21:01,1,1,Mist,7062,1281,5781,Sub_urban,28
VCV00013648/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/16/15 19:19,2/16/15 20:16,1,5,Partly cloudy,6873,542,6332,Sub_urban,29
VCV00013650/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/27/15 20:26,1/27/15 21:03,1,3,Cloudy,10171,1295,8876,Urban,10
VCV00013716/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/22/15 20:19,1/22/15 21:07,1,2,Partly cloudy,12557,1697,10860,Urban,13
VCV00013890/082021,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Karnataka,2/10/15 20:05,2/10/15 20:34,1,5,Sunny,7326,740,6586,Urban,15
VCV00013840/082021,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Pondichery,1/27/15 18:32,1/27/15 19:02,1,1,Patchy rain possible,7768,834,6934,Urban,23
VCV00013803/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/7/15 1:36,2/7/15 2:46,1,5,Sunny,7381,580,6801,Urban,25
VCV00013914/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/14/15 3:04,2/14/15 4:25,1,5,Sunny,6593,795,5798,Urban,12
MVCV0001683/082021,"TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",Karnataka,2/8/15 2:50,2/8/15 4:03,1,1,Patchy rain possible,7108,696,6412,Urban,16
VCV00014179/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/9/15 3:27,2/9/15 4:22,1,4,Cloudy,9823,1579,8244,Urban,25
VCV00014639/082021,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Pondichery,2/12/15 3:12,2/12/15 3:44,1,1,Patchy rain possible,7103,329,6774,Urban,17
VCV00014742/082021,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Pondichery,2/18/15 4:26,2/18/15 5:05,1,1,Patchy rain possible,10461,1583,8878,Urban,19
VCV00014116/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/15/15 4:09,2/15/15 4:50,1,5,Sunny,7599,1160,6439,Urban,21
VCV00014136/082021,"TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",Tamil Nadu,2/17/15 21:34,2/17/15 22:04,1,4,Partly cloudy,7218,1141,6078,Urban,13
VCV00014160/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/14/15 5:34,2/14/15 6:15,1,5,Sunny,7136,494,6641,Urban,16
VCV00014729/082021,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU",Tamil Nadu,2/6/15 3:03,2/6/15 3:43,0,1,Patchy rain possible,7723,501,7222,Urban,18
MVCV0001782/082021,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",Karnataka,2/17/15 1:14,2/17/15 1:52,1,5,Sunny,8026,412,7614,Urban,26
MVCV0001783/082021,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",Karnataka,2/1/15 4:39,2/1/15 5:08,1,5,Sunny,7059,1062,5997,Urban,15
VCV00014847/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/23/15 0:38,1/23/15 0:59,1,4,Sunny,7512,1291,6221,Urban,24
AEIBK2027618,"Gopanapalli, Krishnagiri, Tamil Nadu","Kamarajnagar, Tiruvallur, Tamil Nadu",Tamil Nadu,1/22/15 20:31,1/22/15 21:17,1,4,Sunny,7460,534,6926,Urban,18
AEIBK2027593,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Karnataka,1/26/15 22:22,1/26/15 22:54,1,4,Sunny,10503,1271,9231,Urban,10
AEIBK2026922,"Bandra,Mumbai","Jagadambigainagar, Tiruvallur, Tamil Nadu",Tamil Nadu,2/10/15 3:05,2/10/15 3:38,1,5,Partly cloudy,11973,1679,10294,Urban,20
AEIBK2027507,"Naickenpalayam, Coimbatore, Tamil Nadu","Mookandapalli, Krishnagiri, Tamil Nadu",Tamil Nadu,1/23/15 21:06,1/23/15 21:41,0,1,Patchy rain possible,7619,732,6887,,
AEIBK2027461,"Bandra,Mumbai","Onnalvadi, Krishnagiri, Tamil Nadu",Tamil Nadu,1/25/15 2:16,1/25/15 2:58,1,5,Sunny,7680,843,6837,,
AEIBK2027451,"Bandra,Mumbai","Onnalvadi, Krishnagiri, Tamil Nadu",Tamil Nadu,1/28/15 3:31,1/28/15 4:31,1,5,Sunny,7173,588,6585,,
AEIBK2027485,"Bandra,Mumbai","Guruvoyal, Tiruvallur, Tamil Nadu",Tamil Nadu,1/31/15 1:44,1/31/15 2:30,1,5,Sunny,6970,778,6192,,
AEIBK2027326,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Karnataka,1/31/15 3:10,1/31/15 4:05,1,5,Sunny,6712,682,6030,,
AEIBK2027412,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Karnataka,1/24/15 1:47,1/24/15 2:20,0,4,Patchy rain possible,10155,1540,8615,,
AEIBK2027303,"Bandra,Mumbai","Guruvoyal, Tiruvallur, Tamil Nadu",Tamil Nadu,2/18/15 2:56,2/18/15 3:31,1,5,Sunny,6833,328,6505,,
AEIBK2027255,"Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu",Tamil Nadu,2/5/15 2:17,2/5/15 2:52,0,1,Patchy rain possible,10792,1519,9274,,
AEIBK2027295,"Pondur, Kanchipuram, Tamil Nadu","Bandra,Mumbai",Maharashtra,2/14/15 1:27,2/14/15 2:02,0,1,Patchy rain possible,7558,1140,6417,,
AEIBK2027264,"Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu",Tamil Nadu,2/17/15 0:11,2/17/15 1:09,0,1,Patchy rain possible,7218,1136,6083,,
AEIBK2027834,"Gopanapalli, Krishnagiri, Tamil Nadu","Jagadambigainagar, Tiruvallur, Tamil Nadu",Tamil Nadu,2/5/15 20:18,2/5/15 20:54,0,1,Patchy rain possible,7373,482,6891,,
AEIBK2027847,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Karnataka,2/4/15 21:57,2/4/15 22:43,0,1,Patchy rain possible,7269,489,6780,,
AEIBK2027861,"Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu",Tamil Nadu,2/11/15 1:07,2/11/15 1:48,0,1,Patchy rain possible,8150,401,7749,,
AEIBK2027817,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Karnataka,2/15/15 5:32,2/15/15 6:25,0,1,Patchy rain possible,6811,1071,5740,,
AEIBK2027702,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Karnataka,2/6/15 22:41,2/6/15 23:30,0,1,Patchy rain possible,6347,1271,5076,,
AEIBK2027858,"Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu",Tamil Nadu,1/29/15 3:03,1/29/15 3:38,0,1,Patchy light rain with thunder,7267,521,6747,,
AEIBK2027141,"Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu",Tamil Nadu,2/13/15 3:48,2/13/15 4:26,0,1,Patchy rain possible,10338,1338,9000,,
AEIBK2027753,"Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu",Tamil Nadu,2/15/15 2:16,2/15/15 3:20,0,1,Patchy rain possible,11840,1662,10178,,
AEIBK2027845,"Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu",Tamil Nadu,2/12/15 2:36,2/12/15 3:17,1,5,Partly cloudy,7700,727,6973,,
AEIBK2027512,"Naickenpalayam, Coimbatore, Tamil Nadu","Kamarajnagar, Tiruvallur, Tamil Nadu",Tamil Nadu,2/7/15 2:12,2/7/15 2:48,1,1,Patchy rain possible,7786,823,6963,,
AEIBK2027091,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Karnataka,1/25/15 2:30,1/25/15 3:30,1,4,Patchy rain possible,7207,616,6590,,
AEIBK2027139,"Bandra,Mumbai","Guruvoyal, Tiruvallur, Tamil Nadu",Tamil Nadu,1/30/15 2:59,1/30/15 3:38,1,5,Cloudy,6751,760,5991,,
AEIBK2027033,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Karnataka,1/31/15 2:57,1/31/15 3:24,0,1,Mist,6507,670,5836,,
AEIBK2026902,"Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu",Tamil Nadu,1/26/15 2:51,1/26/15 3:27,1,5,Sunny,9990,1503,8487,,
AEIBK2027162,"Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu",Tamil Nadu,2/1/15 1:47,2/1/15 2:17,1,4,Cloudy,6822,321,6501,,
AEIBK2027469,"Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu",Tamil Nadu,1/27/15 0:45,1/27/15 1:23,0,1,Mist,10628,1493,9134,,
VCV00014153/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/12/15 2:35,2/12/15 3:04,1,5,Sunny,7645,1157,6487,,
VCV00014063/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/7/15 1:25,2/7/15 2:12,1,5,Partly cloudy,7293,1151,6143,,
VCV00014741/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/14/15 2:34,2/14/15 3:29,1,4,Partly cloudy,7343,472,6870,,
AEIBK2027346,"Naickenpalayam, Coimbatore, Tamil Nadu","Mookandapalli, Krishnagiri, Tamil Nadu",Tamil Nadu,1/24/15 3:27,1/24/15 3:58,1,4,Cloudy,6884,505,6379,,
VCV00014113/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/5/15 20:05,2/5/15 21:39,1,4,Partly cloudy,8052,396,7656,,
VCV00013971/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/7/15 23:45,2/8/15 0:37,1,4,Cloudy,8468,626,7842,,
AEIBK2027316,"Jagadambigainagar, Tiruvallur, Tamil Nadu","Bandra,Mumbai",Maharashtra,1/24/15 3:10,1/24/15 4:00,1,3,Cloudy,6374,1047,5327,,
AEIBK2027297,"Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu",Tamil Nadu,2/7/15 2:17,2/7/15 3:00,1,5,Partly cloudy,6036,1273,4763,,
MVCV0001571/082021,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Karnataka,1/29/15 18:56,1/29/15 19:26,1,4,Cloudy,7078,523,6554,,
VCV00013034/082021,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Karnataka,2/16/15 22:09,2/16/15 23:11,1,3,Partly cloudy,9109,1317,7792,,
MVCV0001604/082021,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Karnataka,2/16/15 0:30,2/16/15 1:50,1,1,Partly cloudy,11420,1622,9797,,
VCV00013841/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/22/15 18:37,1/22/15 19:26,0,1,Patchy rain possible,7563,747,6816,,
VCV00014096/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/26/15 19:55,1/26/15 21:19,0,1,Patchy rain possible,7782,803,6979,,
VCV00013818/082021,"TRACTORS & FARM EQUIPMENT LIMITED,KANCHIPURAM,TAMIL NADU","TRACTORS & FARMS EQUIPMENTS LIMITED,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/23/15 5:00,1/23/15 5:42,1,5,Sunny,7246,841,6404,,
VCV00013819/082021,"TRACTORS & FARM EQUIPMENT LIMITED,KANCHIPURAM,TAMIL NADU","TRACTORS & FARMS EQUIPMENTS LIMITED,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/11/15 2:11,2/11/15 2:58,1,5,Sunny,6825,742,6083,,
VCV00014017/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/18/15 2:37,2/18/15 3:17,0,1,Patchy rain possible,6087,657,5430,,
AEIBK2027402,"Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu",Tamil Nadu,2/8/15 4:58,2/8/15 5:39,1,3,Partly cloudy,8761,1478,7283,,
VCV00014735/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/31/15 23:45,2/1/15 0:43,1,4,Partly cloudy,6281,314,5967,,
VCV00014755/082021,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU",Tamil Nadu,2/7/15 20:39,2/7/15 21:22,1,4,Partly cloudy,9399,1473,7926,,
VCV00014647/082021,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Pondichery,1/31/15 22:15,1/31/15 23:17,0,1,Patchy rain possible,6734,1047,5688,,
VCV00013531/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/14/15 23:37,2/15/15 0:41,1,3,Partly cloudy,8087,1153,6934,,
VCV00012819/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/3/15 22:01,2/3/15 22:39,1,5,Sunny,7866,1127,6739,,
