"delivery_id","origin_location","destination_location","region","created_at","actual_delivery_time","on_time_delivery","customer_rating","condition_text","fixed_costs","maintenance","different","area","delivery_time","data_create_date"
"VCV00014600/082021","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","Pondichery","2015-02-08 02:04:00","2015-02-08 03:27:00",True,5,"Partly cloudy",7212,929,6283,"Rural",81,"2025-05-07 15:05:06.38629"
"VCV00014753/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-01-31 04:35:00","2015-01-31 05:47:00",True,5,"Partly cloudy",7023,420,6603,"Rural",37,"2025-05-07 15:05:06.38629"
"VCV00014902/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-01-31 02:21:00","2015-01-31 03:11:00",True,5,"Sunny",10465,1327,9137,"Rural",63,"2025-05-07 15:05:06.38629"
"VCV00015028/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-01-31 23:45:00","2015-02-01 00:14:00",True,5,"Sunny",6388,2096,4292,"Sub_urban",32,"2025-05-07 15:05:06.38629"
"VCV00014886/082021","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","Tamil Nadu","2015-02-17 03:13:00","2015-02-17 04:00:00",False,1,"Patchy rain possible",12185,1725,10460,"Sub_urban",28,"2025-05-07 15:05:06.38629"
"VCV00014888/082021","TRACTORS & FARM EQUIPMENT LIMITED,KANCHIPURAM,TAMIL NADU","TRACTORS & FARMS EQUIPMENTS LIMITED,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-15 01:26:00","2015-02-15 02:16:00",True,5,"Sunny",6382,759,5622,"Sub_urban",36,"2025-05-07 15:05:06.38629"
"VCV00014914/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-02 05:27:00","2015-02-02 07:05:00",False,1,"Mist",7768,845,6924,"Sub_urban",34,"2025-05-07 15:05:06.38629"
"VCV00014931/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-16 02:21:00","2015-02-16 03:54:00",True,5,"Sunny",7098,558,6539,"Sub_urban",29,"2025-05-07 15:05:06.38629"
"VCV00014983/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-13 01:01:00","2015-02-13 01:40:00",True,4,"Overcast",6788,542,6246,"Sub_urban",38,"2025-05-07 15:05:06.38629"
"VCV00014984/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-01-24 02:01:00","2015-01-24 02:46:00",True,5,"Sunny",6574,680,5894,"Sub_urban",37,"2025-05-07 15:05:06.38629"
"VCV00014991/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-10 04:36:00","2015-02-10 05:20:00",True,5,"Sunny",10117,1600,8517,"Sub_urban",45,"2025-05-07 15:05:06.38629"
"VCV00012634/082021","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","Pondichery","2015-01-26 02:09:00","2015-01-26 02:47:00",True,1,"Patchy rain possible",6827,338,6489,"Sub_urban",47,"2025-05-07 15:05:06.38629"
"VCV00012746/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-07 01:44:00","2015-02-07 02:48:00",True,3,"Cloudy",10755,1591,9164,"Sub_urban",40,"2025-05-07 15:05:06.38629"
"VCV00012911/082021","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","Pondichery","2015-01-30 01:43:00","2015-01-30 02:20:00",True,4,"Partly cloudy",7468,1171,6298,"Sub_urban",25,"2025-05-07 15:05:06.38629"
"VCV00012946/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-01-30 19:49:00","2015-01-30 20:28:00",True,3,"Cloudy",7710,1191,6520,"Sub_urban",36,"2025-05-07 15:05:06.38629"
"MVCV0001572/082021","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA","Tamil Nadu","2015-01-28 20:33:00","2015-01-28 21:04:00",True,1,"Patchy rain possible",7260,507,6753,"Sub_urban",3,"2025-05-07 15:05:06.38629"
"VCV00013052/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-12 20:27:00","2015-02-12 21:18:00",True,5,"Sunny",7683,514,7169,"Sub_urban",4,"2025-05-07 15:05:06.38629"
"AEIBK2027858","Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu","Tamil Nadu","2015-01-29 03:03:00","2015-01-29 03:38:00",False,1,"Patchy light rain with thunder",7267,521,6747,NULL,NULL,"2025-05-07 15:05:06.38629"
"VCV00013197/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-01-28 21:37:00","2015-01-28 22:11:00",True,5,"Sunny",7345,419,6925,"Sub_urban",15,"2025-05-07 15:05:06.38629"
"MVCV0001605/082021","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","Karnataka","2015-02-09 20:29:00","2015-02-09 21:17:00",True,1,"Mist",6673,1066,5607,"Sub_urban",25,"2025-05-07 15:05:06.38629"
"MVCV0001598/082021","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","Pondichery","2015-01-21 20:35:00","2015-01-21 21:01:00",True,1,"Mist",7062,1281,5781,"Sub_urban",28,"2025-05-07 15:05:06.38629"
"VCV00013648/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-16 19:19:00","2015-02-16 20:16:00",True,5,"Partly cloudy",6873,542,6332,"Sub_urban",29,"2025-05-07 15:05:06.38629"
"VCV00013650/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-01-27 20:26:00","2015-01-27 21:03:00",True,3,"Cloudy",10171,1295,8876,"Urban",10,"2025-05-07 15:05:06.38629"
"VCV00013716/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-01-22 20:19:00","2015-01-22 21:07:00",True,2,"Partly cloudy",12557,1697,10860,"Urban",13,"2025-05-07 15:05:06.38629"
"VCV00013890/082021","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","Karnataka","2015-02-10 20:05:00","2015-02-10 20:34:00",True,5,"Sunny",7326,740,6586,"Urban",15,"2025-05-07 15:05:06.38629"
"VCV00013840/082021","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","Pondichery","2015-01-27 18:32:00","2015-01-27 19:02:00",True,1,"Patchy rain possible",7768,834,6934,"Urban",23,"2025-05-07 15:05:06.38629"
"VCV00013803/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-07 01:36:00","2015-02-07 02:46:00",True,5,"Sunny",7381,580,6801,"Urban",25,"2025-05-07 15:05:06.38629"
"VCV00013914/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-14 03:04:00","2015-02-14 04:25:00",True,5,"Sunny",6593,795,5798,"Urban",12,"2025-05-07 15:05:06.38629"
"MVCV0001683/082021","TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA","Karnataka","2015-02-08 02:50:00","2015-02-08 04:03:00",True,1,"Patchy rain possible",7108,696,6412,"Urban",16,"2025-05-07 15:05:06.38629"
"VCV00014179/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-09 03:27:00","2015-02-09 04:22:00",True,4,"Cloudy",9823,1579,8244,"Urban",25,"2025-05-07 15:05:06.38629"
"VCV00014639/082021","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","Pondichery","2015-02-12 03:12:00","2015-02-12 03:44:00",True,1,"Patchy rain possible",7103,329,6774,"Urban",17,"2025-05-07 15:05:06.38629"
"VCV00014742/082021","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","Pondichery","2015-02-18 04:26:00","2015-02-18 05:05:00",True,1,"Patchy rain possible",10461,1583,8878,"Urban",19,"2025-05-07 15:05:06.38629"
"VCV00014116/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-15 04:09:00","2015-02-15 04:50:00",True,5,"Sunny",7599,1160,6439,"Urban",21,"2025-05-07 15:05:06.38629"
"VCV00014136/082021","TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA","Tamil Nadu","2015-02-17 21:34:00","2015-02-17 22:04:00",True,4,"Partly cloudy",7218,1141,6078,"Urban",13,"2025-05-07 15:05:06.38629"
"VCV00014160/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-14 05:34:00","2015-02-14 06:15:00",True,5,"Sunny",7136,494,6641,"Urban",16,"2025-05-07 15:05:06.38629"
"VCV00014729/082021","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","Tamil Nadu","2015-02-06 03:03:00","2015-02-06 03:43:00",False,1,"Patchy rain possible",7723,501,7222,"Urban",18,"2025-05-07 15:05:06.38629"
"MVCV0001782/082021","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA","Karnataka","2015-02-17 01:14:00","2015-02-17 01:52:00",True,5,"Sunny",8026,412,7614,"Urban",26,"2025-05-07 15:05:06.38629"
"MVCV0001783/082021","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA","Karnataka","2015-02-01 04:39:00","2015-02-01 05:08:00",True,5,"Sunny",7059,1062,5997,"Urban",15,"2025-05-07 15:05:06.38629"
"VCV00014847/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-01-23 00:38:00","2015-01-23 00:59:00",True,4,"Sunny",7512,1291,6221,"Urban",24,"2025-05-07 15:05:06.38629"
"AEIBK2027618","Gopanapalli, Krishnagiri, Tamil Nadu","Kamarajnagar, Tiruvallur, Tamil Nadu","Tamil Nadu","2015-01-22 20:31:00","2015-01-22 21:17:00",True,4,"Sunny",7460,534,6926,"Urban",18,"2025-05-07 15:05:06.38629"
"AEIBK2027593","Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka","Karnataka","2015-01-26 22:22:00","2015-01-26 22:54:00",True,4,"Sunny",10503,1271,9231,"Urban",10,"2025-05-07 15:05:06.38629"
"AEIBK2026922","Bandra,Mumbai","Jagadambigainagar, Tiruvallur, Tamil Nadu","Tamil Nadu","2015-02-10 03:05:00","2015-02-10 03:38:00",True,5,"Partly cloudy",11973,1679,10294,"Urban",20,"2025-05-07 15:05:06.38629"
"AEIBK2027507","Naickenpalayam, Coimbatore, Tamil Nadu","Mookandapalli, Krishnagiri, Tamil Nadu","Tamil Nadu","2015-01-23 21:06:00","2015-01-23 21:41:00",False,1,"Patchy rain possible",7619,732,6887,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027461","Bandra,Mumbai","Onnalvadi, Krishnagiri, Tamil Nadu","Tamil Nadu","2015-01-25 02:16:00","2015-01-25 02:58:00",True,5,"Sunny",7680,843,6837,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027451","Bandra,Mumbai","Onnalvadi, Krishnagiri, Tamil Nadu","Tamil Nadu","2015-01-28 03:31:00","2015-01-28 04:31:00",True,5,"Sunny",7173,588,6585,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027485","Bandra,Mumbai","Guruvoyal, Tiruvallur, Tamil Nadu","Tamil Nadu","2015-01-31 01:44:00","2015-01-31 02:30:00",True,5,"Sunny",6970,778,6192,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027326","Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka","Karnataka","2015-01-31 03:10:00","2015-01-31 04:05:00",True,5,"Sunny",6712,682,6030,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027412","Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka","Karnataka","2015-01-24 01:47:00","2015-01-24 02:20:00",False,4,"Patchy rain possible",10155,1540,8615,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027303","Bandra,Mumbai","Guruvoyal, Tiruvallur, Tamil Nadu","Tamil Nadu","2015-02-18 02:56:00","2015-02-18 03:31:00",True,5,"Sunny",6833,328,6505,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027255","Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu","Tamil Nadu","2015-02-05 02:17:00","2015-02-05 02:52:00",False,1,"Patchy rain possible",10792,1519,9274,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027295","Pondur, Kanchipuram, Tamil Nadu","Bandra,Mumbai","Maharashtra","2015-02-14 01:27:00","2015-02-14 02:02:00",False,1,"Patchy rain possible",7558,1140,6417,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027264","Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu","Tamil Nadu","2015-02-17 00:11:00","2015-02-17 01:09:00",False,1,"Patchy rain possible",7218,1136,6083,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027834","Gopanapalli, Krishnagiri, Tamil Nadu","Jagadambigainagar, Tiruvallur, Tamil Nadu","Tamil Nadu","2015-02-05 20:18:00","2015-02-05 20:54:00",False,1,"Patchy rain possible",7373,482,6891,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027847","Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka","Karnataka","2015-02-04 21:57:00","2015-02-04 22:43:00",False,1,"Patchy rain possible",7269,489,6780,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027861","Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu","Tamil Nadu","2015-02-11 01:07:00","2015-02-11 01:48:00",False,1,"Patchy rain possible",8150,401,7749,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027817","Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka","Karnataka","2015-02-15 05:32:00","2015-02-15 06:25:00",False,1,"Patchy rain possible",6811,1071,5740,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027702","Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka","Karnataka","2015-02-06 22:41:00","2015-02-06 23:30:00",False,1,"Patchy rain possible",6347,1271,5076,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027141","Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu","Tamil Nadu","2015-02-13 03:48:00","2015-02-13 04:26:00",False,1,"Patchy rain possible",10338,1338,9000,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027753","Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu","Tamil Nadu","2015-02-15 02:16:00","2015-02-15 03:20:00",False,1,"Patchy rain possible",11840,1662,10178,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027845","Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu","Tamil Nadu","2015-02-12 02:36:00","2015-02-12 03:17:00",True,5,"Partly cloudy",7700,727,6973,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027512","Naickenpalayam, Coimbatore, Tamil Nadu","Kamarajnagar, Tiruvallur, Tamil Nadu","Tamil Nadu","2015-02-07 02:12:00","2015-02-07 02:48:00",True,1,"Patchy rain possible",7786,823,6963,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027091","Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka","Karnataka","2015-01-25 02:30:00","2015-01-25 03:30:00",True,4,"Patchy rain possible",7207,616,6590,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027139","Bandra,Mumbai","Guruvoyal, Tiruvallur, Tamil Nadu","Tamil Nadu","2015-01-30 02:59:00","2015-01-30 03:38:00",True,5,"Cloudy",6751,760,5991,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027033","Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka","Karnataka","2015-01-31 02:57:00","2015-01-31 03:24:00",False,1,"Mist",6507,670,5836,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2026902","Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu","Tamil Nadu","2015-01-26 02:51:00","2015-01-26 03:27:00",True,5,"Sunny",9990,1503,8487,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027162","Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu","Tamil Nadu","2015-02-01 01:47:00","2015-02-01 02:17:00",True,4,"Cloudy",6822,321,6501,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027469","Bandra,Mumbai","Pondur, Kanchipuram, Tamil Nadu","Tamil Nadu","2015-01-27 00:45:00","2015-01-27 01:23:00",False,1,"Mist",10628,1493,9134,NULL,NULL,"2025-05-07 15:05:06.38629"
"VCV00014153/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-12 02:35:00","2015-02-12 03:04:00",True,5,"Sunny",7645,1157,6487,NULL,NULL,"2025-05-07 15:05:06.38629"
"VCV00014063/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-07 01:25:00","2015-02-07 02:12:00",True,5,"Partly cloudy",7293,1151,6143,NULL,NULL,"2025-05-07 15:05:06.38629"
"VCV00014741/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-14 02:34:00","2015-02-14 03:29:00",True,4,"Partly cloudy",7343,472,6870,NULL,NULL,"2025-05-07 15:05:06.38629"
"AEIBK2027346","Naickenpalayam, Coimbatore, Tamil Nadu","Mookandapalli, Krishnagiri, Tamil Nadu","Tamil Nadu","2015-01-24 03:27:00","2015-01-24 03:58:00",True,4,"Cloudy",6884,505,6379,NULL,NULL,"2025-05-07 15:05:06.38629"
